# Entity-resolution crosswalk: IIHS nameplate <-> FARS make/model codes.
# Built semi-automatically by src/vsa/tools/build_crosswalk.py:
# FARS VIN samples -> vPIC decode -> fuzzy match to IIHS nameplates.
# Low-confidence rows are duplicated into crosswalk_review.csv — review
# and correct HERE (this file is what resolve() reads). Every MY2017/
# MY2020 death-rate row must resolve or `make resolve` fails loudly.
iihs_name,fars_make_code,fars_model_code,vpic_body_class,drivetrain,class,luxury_flag
Chevrolet Spark,20,29,Hatchback/Liftback/Notchback,NAN,mini cars,0
Hyundai Accent,55,36,Hatchback/Liftback/Notchback,NAN,mini cars,0
Mitsubishi Mirage G4,52,48,Hatchback/Liftback/Notchback,NAN,mini cars,0
Kia Rio sedan,63,32,Sedan/Saloon,NAN,mini cars,0
Mitsubishi Mirage hatchback,52,48,Hatchback/Liftback/Notchback,NAN,mini cars,0
Honda Civic hatchback,37,31,Sedan/Saloon,NAN,small cars,0
Subaru Impreza sedan,48,38,Sedan/Saloon,NAN,small cars,0
Subaru WRX,48,47,Sedan/Saloon,NAN,small cars,0
Toyota Prius,49,46,Hatchback/Liftback/Notchback,NAN,small cars,0
Chevrolet Sonic,20,28,Sedan/Saloon,NAN,small cars,0
Hyundai Elantra,55,35,Sedan/Saloon,NAN,small cars,0
Chevrolet Bolt,20,40,Hatchback/Liftback/Notchback,NAN,small cars,0
Toyota Corolla,49,32,Sedan/Saloon,NAN,small cars,0
Toyota Prius Prime,49,46,Hatchback/Liftback/Notchback,NAN,small cars,0
Kia Forte,63,38,Sedan/Saloon,NAN,small cars,0
Honda Civic,37,31,Sedan/Saloon,NAN,small cars,0
Honda Accord hybrid,37,32,Sedan/Saloon,NAN,midsize cars,0
Toyota Camry,49,40,Sedan/Saloon,NAN,midsize cars,0
Ford Fusion hybrid,12,23,Sedan/Saloon,NAN,midsize cars,0
Kia Optima,63,34,Sedan/Saloon,NAN,midsize cars,0
Chevrolet Malibu,20,37,Sedan/Saloon,NAN,midsize cars,0
Toyota Camry hybrid,49,40,Sedan/Saloon,NAN,midsize cars,0
Ford Fusion,12,23,Sedan/Saloon,NAN,midsize cars,0
Nissan Altima,35,47,Sedan/Saloon,NAN,midsize cars,0
Volkswagen Jetta,30,40,Sedan/Saloon,NAN,midsize cars,0
Honda Accord,37,32,Sedan/Saloon,NAN,midsize cars,0
Dodge Charger HEMI,7,24,Sedan/Saloon,2WD,large cars,0
Chrysler 300,6,51,Sedan/Saloon,4WD,large cars,0
Chevrolet Impala,20,2,Sedan/Saloon,NAN,large cars,0
Dodge Charger,7,24,Sedan/Saloon,4WD,large cars,0
Dodge Challenger,7,28,Coupe,2WD,large cars,0
