cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy,level
MY2020,All 2020 mini cars,mini cars,,2017-20,153,119,187,,,,806983,class
MY2020,All 2020 small cars,small cars,,2017-20,54,45,62,,,,4012267,class
MY2020,All 2020 midsize cars,midsize cars,,2017-20,60,54,67,,,,7311261,class
MY2020,All 2020 large cars,large cars,,2017-20,93,80,106,,,,2547580,class
MY2020,All 2020 midsize luxury cars,midsize luxury cars,,2017-20,23,16,29,,,,2695631,class
MY2020,All 2020 large luxury cars,large luxury cars,,2017-20,21,13,30,,,,1123522,class
MY2020,All 2020 very large luxury cars,very large luxury cars,,2017-20,4,0,12,,,,196624,class
MY2020,All 2020 small sports cars,small sports cars,,2017-20,26,3,50,,,,149049,class
MY2020,All 2020 midsize sports cars,midsize sports cars,,2017-20,76,59,94,,,,922222,class
MY2020,All 2020 large sports cars,large sports cars,,2017-20,102,75,128,,,,637002,class
MY2020,All 2020 mini station wagons/minivans,mini station wagons/minivans,,2017-20,49,30,69,,,,657614,class
MY2020,All 2020 small station wagons/minivans,small station wagons/minivans,,2017-20,29,19,40,,,,1507675,class
MY2020,All 2020 midsize station wagons/minivans,midsize station wagons/minivans,,2017-20,5,0,14,,,,163894,class
MY2020,All 2020 very large station wagons/minivans,very large station wagons/minivans,,2017-20,27,21,33,,,,3788518,class
MY2020,All 2020 small pickups,small pickups,,2017-20,30,24,35,,,,3787217,class
MY2020,All 2020 large pickups,large pickups,,2017-20,31,27,36,,,,5121718,class
MY2020,All 2020 very large pickups,very large pickups,,2017-20,31,26,37,,,,4203210,class
MY2020,All 2020 small SUVs,small SUVs,,2017-20,42,38,47,,,,9828928,class
MY2020,All 2020 midsize SUVs,midsize SUVs,,2017-20,27,24,30,,,,12018332,class
MY2020,All 2020 large SUVs,large SUVs,,2017-20,20,13,27,,,,2244156,class
MY2020,All 2020 very large SUVs,very large SUVs,,2017-20,24,12,35,,,,882066,class
MY2020,All 2020 small luxury SUVs,small luxury SUVs,,2017-20,47,33,61,,,,1386476,class
MY2020,All 2020 midsize luxury SUVs,midsize luxury SUVs,,2017-20,11,8,14,,,,4930978,class
MY2020,All 2020 large luxury SUVs,large luxury SUVs,,2017-20,17,7,28,,,,651174,class
MY2020,All 2020 very large luxury SUVs,very large luxury SUVs,,2017-20,18,0,45,,,,152777,class
MY2020,All 2020 vehicles,all,,2017-20,38,37,40,,,,73747968,fleet
MY2017,All 2017 midsize luxury cars,midsize luxury cars,,2014-17,22,16,28,9.0,14.0,5.0,2962493,class
MY2017,All 2017 large luxury cars,large luxury cars,,2014-17,19,11,28,9.0,10.0,6.0,1025362,class
MY2017,All 2017 very large luxury cars,very large luxury cars,,2014-17,20,10,29,14.0,6.0,3.0,619451,class
MY2017,All 2017 midsize sports cars,midsize sports cars,,2014-17,51,38,64,29.0,22.0,9.0,1127052,class
MY2017,All 2017 large sports cars,large sports cars,,2016-17,48,17,79,17.0,31.0,16.0,199898,class
MY2017,All 2017 mini station wagons/minivans,mini station wagons/minivans,,2014-17,65,47,83,48.0,18.0,5.0,929500,class
MY2017,All 2017 small station wagons/minivans,small station wagons/minivans,,2014-17,54,46,62,39.0,14.0,6.0,4659738,class
MY2017,All 2017 midsize station wagons/minivans,midsize station wagons/minivans,,2015-17,4,0,7,3.0,1.0,0.0,843255,class
MY2017,All 2017 very large station wagons/minivans,very large station wagons/minivans,,2014-17,22,17,28,14.0,8.0,3.0,4165666,class
MY2017,All 2017 small pickups,small pickups,,2014-17,24,15,32,13.0,11.0,4.0,1130232,class
MY2017,All 2017 large pickups,large pickups,,2014-17,26,23,29,13.0,13.0,5.0,9238736,class
