cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2020,Chevrolet Spark,mini cars,,2017-20,151,90,212,,,,250809
MY2020,Hyundai Accent,mini cars,,2018-20,152,61,242,,,,120942
MY2020,Mitsubishi Mirage G4,mini cars,,2017-20,205,107,303,,,,131270
MY2020,Kia Rio sedan,mini cars,,2018-20,122,48,197,,,,111909
MY2020,Mitsubishi Mirage hatchback,mini cars,,2017-20,183,93,273,,,,130507
MY2020,Honda Civic hatchback,small cars,,2019-20,78,26,130,,,,155440
MY2020,Subaru Impreza sedan,small cars,,2017-20,46,18,74,,,,232558
MY2020,Subaru WRX,small cars,,2017-20,38,19,58,,,,327376
MY2020,Toyota Prius,small cars,,2017-20,45,23,67,,,,494862
MY2020,Chevrolet Sonic,small cars,,2017-20,107,50,164,,,,190207
MY2020,Hyundai Elantra,small cars,,2020,103,48,157,,,,164258
MY2020,Chevrolet Bolt,small cars,,2017-20,8,0,19,,,,200063
MY2020,Toyota Corolla,small cars,,2020,58,31,86,,,,288995
MY2020,Toyota Prius Prime,small cars,,2017-20,23,0,45,,,,225182
MY2020,Kia Forte,small cars,,2019-20,111,62,160,,,,271501
MY2020,Honda Civic,small cars,,2019-20,49,29,69,,,,645051
MY2020,Honda Accord hybrid,midsize cars,,2018-20,45,1,90,,,,112221
MY2020,Toyota Camry,midsize cars,,2018-20,48,38,59,,,,2014523
MY2020,Ford Fusion hybrid,midsize cars,,2019-20,25,0,56,,,,143192
MY2020,Kia Optima,midsize cars,,2019-20,80,45,115,,,,263774
MY2020,Chevrolet Malibu,midsize cars,,2017-20,91,73,108,,,,1476351
MY2020,Toyota Camry hybrid,midsize cars,,2018-20,19,0,38,,,,165546
MY2020,Ford Fusion,midsize cars,,2019-20,67,30,104,,,,257689
MY2020,Nissan Altima,midsize cars,,2019-20,113,75,151,,,,451700
MY2020,Volkswagen Jetta,midsize cars,,2019-20,47,24,69,,,,410900
MY2020,Honda Accord,midsize cars,,2018-20,46,34,57,,,,1546159
MY2020,Dodge Charger HEMI,large cars,2WD,2017-20,118,72,164,,,,244988
MY2020,Chrysler 300,large cars,4WD,2017-20,100,37,164,,,,117164
MY2020,Chevrolet Impala,large cars,,2017-20,80,55,105,,,,622686
MY2020,Dodge Charger,large cars,4WD,2017-20,32,0,67,,,,135703
MY2020,Dodge Challenger,large cars,2WD,2017-20,154,116,192,,,,460205
