nameplate,rating_year,test_name,rating_raw,rating_ord,measurement_value,variant
Chevrolet Spark,2020,moderate_overlap_front,Good,4,,4-door hatchback
Chevrolet Spark,2020,side_original,Good,4,,4-door hatchback
Kia Rio sedan,2020,small_overlap_driver,Good,4,,4-door sedan
Kia Rio sedan,2020,small_overlap_passenger,Acceptable,3,,4-door sedan
Kia Rio sedan,2020,moderate_overlap_front,Good,4,,4-door sedan
Kia Rio sedan,2020,side_original,Good,4,,4-door sedan
Kia Rio sedan,2020,roof_strength,Good,4,,4-door sedan
Kia Rio sedan,2020,head_restraints,Good,4,,4-door sedan
Mitsubishi Mirage hatchback,2020,small_overlap_driver,Marginal,2,,4-door hatchback
Mitsubishi Mirage hatchback,2020,moderate_overlap_front,Good,4,,4-door hatchback
Mitsubishi Mirage hatchback,2020,side_original,Good,4,,4-door hatchback
Mitsubishi Mirage hatchback,2020,roof_strength,Good,4,,4-door hatchback
Mitsubishi Mirage hatchback,2020,head_restraints,Good,4,,4-door hatchback
Honda Civic hatchback,2020,small_overlap_driver,Good,4,,4-door hatchback
Honda Civic hatchback,2020,small_overlap_passenger,Good,4,,4-door hatchback
Honda Civic hatchback,2020,moderate_overlap_front,Good,4,,4-door hatchback
Honda Civic hatchback,2020,side_original,Good,4,,4-door hatchback
Honda Civic hatchback,2020,roof_strength,Good,4,,4-door hatchback
Honda Civic hatchback,2020,head_restraints,Good,4,,4-door hatchback
Subaru Impreza sedan,2020,small_overlap_driver,Good,4,,4-door sedan
Subaru Impreza sedan,2020,small_overlap_passenger,Good,4,,4-door sedan
Subaru Impreza sedan,2020,moderate_overlap_front,Good,4,,4-door sedan
Subaru Impreza sedan,2020,side_original,Good,4,,4-door sedan
Subaru Impreza sedan,2020,side_updated,Poor,1,,4-door sedan
Subaru Impreza sedan,2020,roof_strength,Good,4,,4-door sedan
Subaru Impreza sedan,2020,head_restraints,Good,4,,4-door sedan
Toyota Prius,2020,small_overlap_driver,Good,4,,4-door hatchback
Toyota Prius,2020,small_overlap_passenger,Acceptable,3,,4-door hatchback
Toyota Prius,2020,moderate_overlap_front,Good,4,,4-door hatchback
Toyota Prius,2020,side_original,Good,4,,4-door hatchback
Toyota Prius,2020,roof_strength,Good,4,,4-door hatchback
Toyota Prius,2020,head_restraints,Good,4,,4-door hatchback
Chevrolet Sonic,2020,small_overlap_driver,Good,4,,4-door sedan
Chevrolet Sonic,2020,moderate_overlap_front,Good,4,,4-door sedan
Chevrolet Sonic,2020,side_original,Good,4,,4-door sedan
Chevrolet Sonic,2020,roof_strength,Good,4,,4-door sedan
Chevrolet Sonic,2020,head_restraints,Good,4,,4-door sedan
Hyundai Elantra,2020,small_overlap_driver,Good,4,,4-door sedan
Hyundai Elantra,2020,small_overlap_passenger,Good,4,,4-door sedan
Hyundai Elantra,2020,moderate_overlap_front,Good,4,,4-door sedan
Hyundai Elantra,2020,side_original,Good,4,,4-door sedan
Hyundai Elantra,2020,roof_strength,Good,4,,4-door sedan
Hyundai Elantra,2020,head_restraints,Good,4,,4-door sedan
Chevrolet Bolt,2020,small_overlap_driver,Good,4,,4-door hatchback
Chevrolet Bolt,2020,small_overlap_passenger,Acceptable,3,,4-door hatchback
Chevrolet Bolt,2020,moderate_overlap_front,Good,4,,4-door hatchback
Chevrolet Bolt,2020,side_original,Good,4,,4-door hatchback
Chevrolet Bolt,2020,roof_strength,Good,4,,4-door hatchback
Chevrolet Bolt,2020,head_restraints,Good,4,,4-door hatchback
Toyota Corolla,2020,small_overlap_driver,Good,4,,4-door hatchback
Toyota Corolla,2020,small_overlap_passenger,Good,4,,4-door hatchback
Toyota Corolla,2020,moderate_overlap_front,Good,4,,4-door hatchback
Toyota Corolla,2020,side_original,Good,4,,4-door hatchback
Toyota Corolla,2020,side_updated,Acceptable,3,,4-door hatchback
Toyota Corolla,2020,roof_strength,Good,4,,4-door hatchback
Toyota Corolla,2020,head_restraints,Good,4,,4-door hatchback
