study_cycle,class,n,mean,median,p10,p90
MY2002,large SUVs,8,62.25,59.0,49.1,77.7
MY2002,large luxury cars,9,41.111111111111114,45.0,22.8,61.6
MY2002,large pickups,15,103.46666666666667,105.0,75.8,128.6
MY2002,large station wagons/minivans,1,82.0,82.0,82.0,82.0
MY2002,midsize SUVs,29,86.65517241379311,86.0,31.400000000000002,144.59999999999997
MY2002,midsize luxury cars,3,42.333333333333336,46.0,36.4,46.8
MY2002,midsize pickups,1,93.0,93.0,93.0,93.0
MY2002,midsize sports cars,4,155.5,163.0,105.7,199.3
MY2002,midsize station wagons/minivans,1,54.0,54.0,54.0,54.0
MY2002,mini sports cars,1,80.0,80.0,80.0,80.0
MY2002,small SUVs,9,117.44444444444444,115.0,59.6,185.8
MY2002,small pickups,19,114.6842105263158,110.0,69.2,159.59999999999997
MY2002,small sports cars,1,58.0,58.0,58.0,58.0
MY2002,small station wagons/minivans,1,62.0,62.0,62.0,62.0
MY2002,very large SUVs,1,107.0,107.0,107.0,107.0
MY2002,very large luxury cars,2,43.5,43.5,28.7,58.3
MY2002,very large pickups,13,81.53846153846153,82.0,47.6,113.6
MY2002,very large station wagons/minivans,13,42.38461538461539,38.0,22.0,63.400000000000006
MY2004,large SUVs,14,49.357142857142854,50.0,21.0,82.80000000000003
MY2004,large luxury cars,11,42.09090909090909,30.0,26.0,81.0
MY2004,large pickups,12,79.83333333333333,76.5,47.2,116.80000000000001
MY2004,large sports cars,1,37.0,37.0,37.0,37.0
MY2004,large station wagons/minivans,6,70.66666666666667,68.5,49.5,94.0
MY2004,midsize SUVs,34,76.41176470588235,72.0,18.3,125.8
MY2004,midsize luxury cars,8,32.375,34.5,15.9,49.8
MY2004,midsize sports cars,5,123.4,97.0,87.0,175.8
MY2004,midsize station wagons/minivans,2,43.5,43.5,38.3,48.7
MY2004,mini sports cars,1,65.0,65.0,65.0,65.0
MY2004,small SUVs,13,69.53846153846153,65.0,47.4,89.80000000000001
MY2004,small pickups,10,100.4,97.0,61.9,147.3
MY2004,small sports cars,1,146.0,146.0,146.0,146.0
MY2004,small station wagons/minivans,4,76.0,79.5,49.4,99.8
MY2004,very large SUVs,1,115.0,115.0,115.0,115.0
MY2004,very large luxury cars,3,41.0,21.0,13.0,77.0
MY2004,very large pickups,8,73.125,64.0,52.1,108.7
MY2004,very large station wagons/minivans,6,29.666666666666668,26.0,12.0,51.0
MY2008,large SUVs,9,15.444444444444445,21.0,0.0,29.0
MY2008,large luxury cars,5,14.2,12.0,0.0,31.200000000000003
MY2008,large pickups,14,59.214285714285715,52.0,29.7,105.30000000000003
MY2008,large station wagons/minivans,2,53.0,53.0,42.6,63.4
MY2008,midsize SUVs,22,29.59090909090909,25.0,11.1,61.800000000000004
MY2008,midsize luxury cars,8,37.25,32.5,19.5,65.7
MY2008,midsize sports cars,2,106.0,106.0,76.4,135.6
MY2008,midsize station wagons/minivans,2,53.5,53.5,42.7,64.3
MY2008,mini sports cars,1,83.0,83.0,83.0,83.0
MY2008,mini station wagons/minivans,2,60.5,60.5,58.5,62.5
MY2008,small SUVs,11,35.18181818181818,39.0,20.0,46.0
MY2008,small pickups,19,54.526315789473685,57.0,23.6,79.4
MY2008,small sports cars,2,55.0,55.0,48.6,61.4
MY2008,small station wagons/minivans,5,65.8,61.0,45.0,90.4
MY2008,very large luxury cars,2,42.0,42.0,32.4,51.6
MY2008,very large pickups,2,53.0,53.0,48.2,57.8
