nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Chevrolet Spark,,mini cars,MY2020,151.0,90.0,212.0,,-0.3619173015546592
Hyundai Accent,,mini cars,MY2020,152.0,61.0,242.0,,-0.33071753417925753
Mitsubishi Mirage G4,,mini cars,MY2020,205.0,107.0,303.0,,1.322870136717031
Kia Rio sedan,,mini cars,MY2020,122.0,48.0,197.0,,-1.2667105554413076
Mitsubishi Mirage hatchback,,mini cars,MY2020,183.0,93.0,273.0,,0.6364752544581942
Honda Civic hatchback,,small cars,MY2020,78.0,26.0,130.0,,0.50214143242028
Subaru Impreza sedan,,small cars,MY2020,46.0,18.0,74.0,,-0.4184511936835667
Subaru WRX,,small cars,MY2020,38.0,19.0,58.0,,-0.6485993502095284
Toyota Prius,,small cars,MY2020,45.0,23.0,67.0,,-0.4472197132493119
Chevrolet Sonic,,small cars,MY2020,107.0,50.0,164.0,,1.3364284998268912
Hyundai Elantra,,small cars,MY2020,103.0,48.0,157.0,,1.2213544215639103
Chevrolet Bolt,,small cars,MY2020,8.0,0.0,19.0,,-1.5116549371818846
Toyota Corolla,,small cars,MY2020,58.0,31.0,86.0,,-0.0732289588946242
Toyota Prius Prime,,small cars,MY2020,23.0,0.0,45.0,,-1.0801271436957065
Kia Forte,,small cars,MY2020,111.0,62.0,160.0,,1.4515025780898718
Honda Civic,,small cars,MY2020,49.0,29.0,69.0,,-0.3321456349863311
Honda Accord hybrid,,midsize cars,MY2020,45.0,1.0,90.0,,-0.44433309426207324
Toyota Camry,,midsize cars,MY2020,48.0,38.0,59.0,,-0.3425774238203771
Ford Fusion hybrid,,midsize cars,MY2020,25.0,0.0,56.0,,-1.1227042305400476
Kia Optima,,midsize cars,MY2020,80.0,45.0,115.0,,0.7428163942243818
Chevrolet Malibu,,midsize cars,MY2020,91.0,73.0,108.0,,1.1159205191772676
Toyota Camry hybrid,,midsize cars,MY2020,19.0,0.0,38.0,,-1.3262155714234398
Ford Fusion,,midsize cars,MY2020,67.0,30.0,104.0,,0.30187515564369855
Nissan Altima,,midsize cars,MY2020,113.0,75.0,151.0,,1.8621287690830395
Volkswagen Jetta,,midsize cars,MY2020,47.0,24.0,69.0,,-0.3764959806342758
Honda Accord,,midsize cars,MY2020,46.0,34.0,57.0,,-0.4104145374481745
Dodge Charger HEMI,2WD,large cars,MY2020,118.0,72.0,164.0,,0.6901399089822531
Chrysler 300,4WD,large cars,MY2020,100.0,37.0,164.0,,0.23246817986770624
Chevrolet Impala,,large cars,MY2020,80.0,55.0,105.0,,-0.2760559635929014
Dodge Charger,4WD,large cars,MY2020,32.0,0.0,67.0,,-1.4965139078983596
Dodge Challenger,2WD,large cars,MY2020,154.0,116.0,192.0,,1.6054833672113469
Dodge Charger,2WD,large cars,MY2020,91.0,56.0,126.0,,0.0036323153104328085
Chrysler 300,2WD,large cars,MY2020,61.0,30.0,92.0,,-0.7591538998804787
Audi A4,2WD,midsize luxury cars,MY2020,7.0,0.0,21.0,,-0.8307513885470407
Acura TLX,2WD,midsize luxury cars,MY2020,31.0,0.0,64.0,,0.29076298599146416
Lexus ES 350,,midsize luxury cars,MY2020,0.0,0.0,29.0,,-1.157859747787438
Audi A4,4WD,midsize luxury cars,MY2020,17.0,0.0,36.0,,-0.36345373248933033
Tesla Model 3,4WD,midsize luxury cars,MY2020,52.0,9.0,96.0,,1.272088063712656
Mercedes-Benz C-Class sedan,2WD,midsize luxury cars,MY2020,28.0,5.0,51.0,,0.1505736891741511
Mercedes-Benz C-Class sedan,4WD,midsize luxury cars,MY2020,9.0,0.0,21.0,,-0.7372918573354986
Mercedes-Benz CLA-Class,2WD,midsize luxury cars,MY2020,64.0,11.0,117.0,,1.8328452509819084
Tesla Model 3,2WD,midsize luxury cars,MY2020,15.0,0.0,33.0,,-0.4569132637008724
Genesis G80,,large luxury cars,MY2020,30.0,0.0,69.0,,0.8501044615977588
Mercedes-Benz E-Class sedan,4WD,large luxury cars,MY2020,0.0,0.0,22.0,,-1.3675593512659598
Mercedes-Benz E-Class sedan,2WD,large luxury cars,MY2020,27.0,5.0,48.0,,0.6283380803113869
Tesla Model S,4WD,large luxury cars,MY2020,17.0,0.0,33.0,,-0.11088319064318593
Ford Mustang GT coupe,,midsize sports cars,MY2020,77.0,45.0,109.0,,-0.03507153119159497
Ford Mustang coupe,,midsize sports cars,MY2020,59.0,31.0,86.0,,-0.9820028733646524
Ford Mustang convertible,,midsize sports cars,MY2020,97.0,41.0,153.0,,1.0170744045562468
Chevrolet Camaro coupe,,large sports cars,MY2020,110.0,76.0,145.0,,-0.7071067811865476
Chevrolet Camaro convertible,,large sports cars,MY2020,113.0,34.0,191.0,,0.7071067811865476
Honda Fit,,mini station wagons/minivans,MY2020,53.0,25.0,81.0,,0.7071067811865475
Kia Niro hybrid,,mini station wagons/minivans,MY2020,43.0,15.0,71.0,,-0.7071067811865475
Kia Soul,,small station wagons/minivans,MY2020,63.0,6.0,120.0,,1.1544231106240652
Subaru XV Crosstrek,,small station wagons/minivans,MY2020,24.0,11.0,37.0,,-0.5552921291609426
Subaru Impreza wagon,,small station wagons/minivans,MY2020,23.0,8.0,39.0,,-0.5991309814631224
Subaru Outback,,midsize station wagons/minivans,MY2020,5.0,0.0,15.0,,
Chrysler Pacifica,2WD,very large station wagons/minivans,MY2020,20.0,10.0,29.0,,-0.28003993041500846
Kia Sedona,,very large station wagons/minivans,MY2020,53.0,20.0,87.0,,1.1639159607873792
Toyota Sienna,2WD,very large station wagons/minivans,MY2020,5.0,0.0,13.0,,-0.9363835173251847
Honda Odyssey,,very large station wagons/minivans,MY2020,6.0,0.0,13.0,,-0.8926272781978396
Dodge Grand Caravan,,very large station wagons/minivans,MY2020,48.0,34.0,62.0,,0.9451347651506538
Chevrolet Colorado Crew Cab,4WD,small pickups,MY2020,21.0,10.0,32.0,,-0.3998071895918676
Toyota Tacoma Double Cab long bed,4WD,small pickups,MY2020,6.0,0.0,18.0,,-1.256536881574441
Toyota Tacoma Double Cab short bed,4WD,small pickups,MY2020,24.0,13.0,35.0,,-0.22846125119535293
Chevrolet Colorado Crew Cab,2WD,small pickups,MY2020,36.0,10.0,62.0,,0.45692250239070586
GMC Canyon Crew Cab,4WD,small pickups,MY2020,5.0,0.0,14.0,,-1.3136521943732793
Jeep Gladiator,4WD,small pickups,MY2020,15.0,0.0,37.0,,-0.742499066384897
Chevrolet Colorado Extended Cab,2WD,small pickups,MY2020,34.0,8.0,59.0,,0.34269187679302937
Nissan Frontier King Cab,2WD,small pickups,MY2020,40.0,12.0,68.0,,0.6853837535860587
Ford Ranger Crew Cab,4WD,small pickups,MY2020,14.0,0.0,31.0,,-0.7996143791837352
Toyota Tacoma Double Cab short bed,2WD,small pickups,MY2020,27.0,8.0,46.0,,-0.05711531279883823
Nissan Frontier Crew Cab short bed,4WD,small pickups,MY2020,56.0,28.0,85.0,,1.5992287583674705
Nissan Frontier Crew Cab short bed,2WD,small pickups,MY2020,58.0,27.0,88.0,,1.7134593839651469
Ford F-150 SuperCab,4WD,large pickups,MY2020,29.0,3.0,55.0,,0.05303428346689764
Ford F-150 SuperCrew,2WD,large pickups,MY2020,30.0,5.0,55.0,,0.1591028504006929
Toyota Tundra Double Cab short bed,4WD,large pickups,MY2020,12.0,0.0,28.0,,-1.7501313544076222
Ram 1500 Classic Crew Cab short bed,4WD,large pickups,MY2020,51.0,1.0,100.0,,2.386542756010394
Chevrolet Silverado 1500 Extended Cab,4WD,large pickups,MY2020,14.0,0.0,31.0,,-1.5379942205400317
Ram 1500 Crew Cab short bed,4WD,large pickups,MY2020,35.0,20.0,51.0,,0.6894456850696693
