cycle_a,cycle_b,n_nameplates,kendall_tau,p_value
MY2002,MY2004,20,0.656084656084656,5.641584431105083e-05
MY2002,MY2008,16,0.39330888211518983,0.03415760720580079
MY2002,MY2011,15,0.1170857088376447,0.5498521713480267
MY2002,MY2014,19,0.2764705882352941,0.09969536560004166
MY2002,MY2017,17,0.3703703703703704,0.03910101543557681
MY2002,MY2020,14,0.37989419645392825,0.06152707596482724
MY2004,MY2008,17,0.44445663820946985,0.013295210286424415
MY2004,MY2011,19,0.27462808923457793,0.10590619483798472
MY2004,MY2014,18,0.4488473289576795,0.009845170755591057
MY2004,MY2017,20,0.351068796277721,0.031886768870977834
MY2004,MY2020,17,0.48120300751879697,0.008056292606413818
MY2008,MY2011,21,0.09245769459638362,0.5644382632434668
MY2008,MY2014,22,0.2800881979050251,0.07056809399989841
MY2008,MY2017,22,0.2701582759016011,0.08005612368554531
MY2008,MY2020,24,0.19521211740972993,0.18741703717703362
MY2011,MY2014,36,0.3110476641137968,0.008440004596191156
MY2011,MY2017,37,0.16109589927872545,0.1650117991119442
MY2011,MY2020,40,0.3979228338336702,0.0003689635098657321
MY2014,MY2017,54,0.6048661344945728,1.4967833758925373e-10
MY2014,MY2020,54,0.5533279731626143,4.420912079063231e-09
MY2017,MY2020,57,0.5627764732670817,8.058037662632393e-10
