nameplate,MY2002,MY2004,MY2008,MY2011,MY2014,MY2017,MY2020
Acura MDX,36.0,,11.0,12.0,,,8.5
Acura RDX,,,,12.0,,8.0,6.0
Acura TL,47.0,,,5.0,21.0,,
Audi A4,,,,0.0,15.0,,12.0
Audi Q5,,,,,7.0,12.0,2.0
BMW X3,,,24.0,,9.0,5.0,0.0
BMW X5,33.0,19.0,,14.0,,4.0,6.0
Buick Enclave,,,,9.0,21.0,22.0,30.5
Cadillac Escalade,,58.0,33.0,37.0,,6.0,26.0
Chevrolet Camaro coupe,,,,80.0,55.0,39.0,110.0
Chevrolet Equinox,,,,5.0,28.0,37.0,39.5
Chevrolet Silverado 1500,139.0,85.0,,,,41.5,
Chevrolet Silverado 1500 Crew Cab,,,,,35.0,40.0,29.0
Chevrolet Sonic,,,,,54.0,74.0,107.0
Chevrolet Suburban 1500,,,,38.5,23.0,16.5,37.5
Chevrolet Tahoe,79.5,55.5,,14.0,20.5,23.5,12.5
Chevrolet Traverse,,,,9.5,22.5,28.0,18.0
Chrysler Town & Country,38.0,54.0,28.0,25.0,22.0,,
Dodge Durango,45.5,,,,16.0,13.0,32.0
Dodge Grand Caravan,52.0,48.0,63.0,27.0,35.0,41.0,48.0
Dodge Journey,,,,34.0,17.0,34.0,62.0
Ford Edge,,,12.5,27.5,25.0,20.5,27.5
Ford Escape,100.5,74.5,42.0,31.0,24.5,26.5,43.0
Ford Expedition,58.0,40.0,,20.5,15.5,36.0,
Ford Explorer,,52.0,,,15.5,23.0,22.0
Ford F-150,119.5,,63.5,,,42.0,
Ford F-150 SuperCab,,,,,24.0,11.0,29.0
Ford Flex,,,,5.0,45.0,38.0,
Ford Focus,62.0,,,,45.0,60.0,
Ford Mustang GT coupe,,,,,49.0,81.0,77.0
Ford Mustang convertible,91.0,97.0,,,60.0,,97.0
Ford Mustang coupe,,,,,58.0,45.0,59.0
Ford Ranger,146.0,142.5,81.0,,,,
GMC Acadia,,,,11.5,20.5,,10.5
GMC Terrain,,,,38.0,42.5,25.5,
GMC Yukon,52.0,92.0,,5.5,26.5,33.5,23.0
GMC Yukon XL 1500,,,,9.0,11.0,0.0,11.0
Honda CR-V,,58.0,14.5,18.0,18.0,21.5,14.0
Honda Fit,,,63.0,,,48.0,53.0
Honda Odyssey,19.0,17.0,17.0,0.0,8.0,8.0,6.0
Honda Pilot,,19.0,20.0,6.5,16.0,14.0,10.0
Hyundai Accent,,,,,63.0,81.0,152.0
Hyundai Santa Fe,,47.0,25.0,14.0,,14.5,18.0
Hyundai Tucson,,,42.5,,33.5,39.5,50.0
Jeep Cherokee,,,,,0.0,23.0,44.5
Jeep Compass,,,,7.0,30.5,47.5,34.0
Jeep Grand Cherokee,72.0,62.5,11.0,7.0,13.0,16.5,26.0
Jeep Liberty,86.0,80.5,,26.5,,,
Jeep Wrangler 2-door,,,20.0,34.0,35.0,46.0,54.0
Jeep Wrangler 4-door,,,17.0,21.0,27.0,31.0,39.0
Kia Sedona,,35.0,16.0,16.0,,21.0,53.0
Kia Sorento,,,,0.0,,22.0,30.5
Kia Soul,,,,32.0,82.0,70.0,63.0
Lexus ES 350,,,32.0,9.0,31.0,,0.0
Lexus RX 350,,,25.0,3.0,1.0,,7.5
Lincoln Town Car,62.0,91.0,54.0,,,,
Mercedes-Benz C-Class sedan,,,,,18.0,14.0,18.5
Mercedes-Benz M-Class,,14.0,,3.0,0.0,,
Mitsubishi Outlander Sport,,,,,29.0,55.0,33.5
Nissan Frontier Crew Cab short bed,,,,,29.0,39.5,57.0
Nissan Murano,,,,23.0,26.5,19.0,13.0
Nissan Pathfinder,32.5,50.0,45.5,,12.5,22.5,12.5
Nissan Quest,26.0,,58.0,,53.0,,
Nissan Rogue,,,,33.5,,32.0,52.5
Nissan Xterra,74.5,70.5,49.5,,14.0,,
Porsche Cayenne,,,28.0,,9.0,0.0,
Ram 1500 Crew Cab short bed,,,,,55.0,38.0,31.5
Ram 1500 Quad Cab,,,,,34.0,35.5,31.0
Ram 2500 Crew Cab short bed,,,,,44.0,30.0,33.0
Subaru Forester,70.0,53.0,45.0,20.0,28.0,17.0,30.0
Subaru Outback,,,40.0,6.0,12.0,3.0,5.0
Subaru XV Crosstrek,,,,,17.0,18.0,24.0
Toyota 4Runner,12.0,13.0,,,14.0,23.5,
Toyota Highlander,,22.0,,10.5,,13.0,
Toyota RAV4,18.0,,33.5,27.0,19.0,19.0,45.5
Toyota Sienna,32.0,17.0,0.0,27.0,9.5,13.5,5.0
Toyota Tacoma,108.0,90.5,61.0,,,,
Toyota Tacoma Double Cab short bed,,,,,21.0,25.0,25.5
Toyota Tundra Crew Max,,,,30.5,,20.5,34.0
Toyota Tundra Double Cab short bed,,,,,18.0,15.0,12.0
Volkswagen Jetta,,,,6.0,20.0,,47.0
Volvo XC60,,,,,10.0,29.0,5.0
Volvo XC90,,,28.0,0.0,,,4.0
