class,drivetrain,n,spearman_rho,p_value
midsize SUVs,2WD,12,-0.3309864121267387,0.29330999306085254
large pickups,4WD,11,0.1732837150288368,0.6103775844821017
small cars,,11,0.21243400181751776,0.5305819344036276
midsize cars,,10,0.18881372801234023,0.6013824532378552
midsize SUVs,4WD,9,-0.5641849990824143,0.11356279983109692
midsize luxury SUVs,4WD,8,-0.29793156282915945,0.47355475849919226
small SUVs,4WD,8,-0.05988131309566294,0.8879906501125184
small SUVs,2WD,8,-0.3952166664313755,0.3325171079338275
small pickups,4WD,7,-0.4490887131390719,0.3120984397924347
very large pickups,4WD,6,0.05797710356524484,0.9131317851623264
mini cars,,5,0.05270462766947299,0.9329254642331789
small station wagons/minivans,,5,-0.05129891760425771,0.934712848108234
